"","twitter_id","screen_name","favorites_count","followers_count","friends_count","listed_count","statuses_count","creation_date","creation_time","location","link_color","sidebar_border_color","sidebar_fill_color","text_color","party"
"1",15630931,"johannesvogel",6636,11551,2203,446,10053,"2008-07-28","12:19:51","Berlin / NRW","1DA1F2","C0DEED","DDEEF6","333333","F"
"2",15686106,"MatthiasHoehn",881,4644,572,198,2630,"2008-08-01","05:44:01","Altmark Magdeburg Berlin","E2000F","FFFFFF","DEDEDE","0","L"
"3",15943222,"hubertus_heil",2299,64361,3593,936,4308,"2008-08-22","10:14:26","Peine Gifhorn Berlin","0000FF","87BC44","E0FF92","0","S"
"4",16255941,"larsklingbeil",10003,38540,1510,825,19073,"2008-09-12","12:58:06","Munster Niedersachsen D","E60003","E60003","FFFFFF","0","S"
"5",16325209,"solms",12,6373,669,402,1706,"2008-09-17","07:49:56","Lich Berlin","2C23E7","0","F0F016","383838","F"
"6",16337664,"Volker_Beck",11490,89937,7155,1680,62644,"2008-09-17","21:38:23","Berlin Deutschland","3B94D9","829D5E","B3EE17","3E4415","G"
"7",16345935,"rainerstinner",10,1118,1133,119,212,"2008-09-18","12:22:58","Berlin / Munich","0084B4","B3C4DC","C6D2E2","333333","F"
"8",16361044,"wanderwitz",21148,3716,945,175,12674,"2008-09-19","08:33:36","Hohenstein-Ernstthal","1DA1F2","C0DEED","DDEEF6","333333","C"
"9",16364201,"JosefWinkler",213,3428,0,242,2735,"2008-09-19","14:55:53","Bad Ems","9B0D0D","DFDFDF","F3F3F3","333333","G"
"10",16557497,"anked",6253,30159,2267,1169,86787,"2008-10-02","10:12:46","Germany","F88017","FFFFFF","3DF022","2C1C1F","L"
"11",16674128,"nouripour",2818,16367,5287,632,16034,"2008-10-09","21:23:15","Frankfurt/Germany","193D5C","114145","2F50A7","020C27","G"
"12",16696924,"tpflueger",124,2591,5001,105,338,"2008-10-11","15:25:31","Freiburg / Berlin","FF3300","86A4A6","A0C5C7","333333","L"
"13",16698636,"Arfst_Wagner",272,1152,951,86,1813,"2008-10-11","18:32:38","","1F98C7","C6E2EE","DAECF4","663B12","G"
"14",17343047,"sven_kindler",20682,11146,1267,518,26505,"2008-11-12","16:51:14","","0084B4","BDDCAD","B1B3E2","333333","G"
"15",17462171,"florian_toncar",378,3253,1011,185,1753,"2008-11-18","10:55:06","Berlin Deutschland","1F98C7","C6E2EE","DAECF4","663B12","F"
"16",17469649,"larscastellucci",2010,4001,1448,188,3633,"2008-11-18","20:02:03","Wiesloch","EC0000","FFFFFF","FFFFFF","1C4C5C","S"
"17",17483463,"ManuelHoeferlin",745,5514,982,320,3744,"2008-11-19","10:16:23","Rheinhessen und Berlin","E5007D","00519E","FBEE31","333333","F"
"18",17535941,"christianduerr",1275,2333,661,114,948,"2008-11-21","13:20:23","Berlin / Ganderkesee","878787","FFFFFF","2C3277","878787","F"
"19",17561226,"torstenherbst",413,1064,253,71,756,"2008-11-22","19:02:47","Dresden","3B94D9","86A4A6","A0C5C7","333333","F"
"20",17675072,"MartinSchulz",935,697317,3271,4418,4606,"2008-11-27","10:49:00","","0084B4","FFFFFF","DDFFCC","333333","S"
"21",17752770,"KonstantinNotz",5053,56085,2765,1103,22257,"2008-11-30","11:20:58","Schleswig-Holstein und Berlin","88253","D3D2CF","E3E2DE","634047","G"
"22",17922403,"ManuelSarrazin",1272,4696,583,234,3964,"2008-12-06","14:31:27","Harburg an der Elbe","1FA12D","FFFFFF","DDEEF6","333333","G"
"23",17960911,"smuellermdb",543,5340,209,262,1419,"2008-12-08","11:34:51","Erlangen","0","333333","ABABAB","333333","C"
"24",18000943,"jimmyschulz",3089,9236,1420,477,6521,"2008-12-09","20:14:10","München Berlin Berchtesgaden","0099CC","FFFFFF","FBEE31","3D1957","F"
"25",18044683,"Otto_Fricke",3864,10258,314,413,7743,"2008-12-11","09:50:36","Krefeld / Berlin  Deutschland","0099B9","5ED4DC","E6CF37","3C3940","F"
"26",18103366,"MariaKlSchmeink",8072,4047,1148,264,11055,"2008-12-13","19:27:20","Münster","1DA1F2","C0DEED","DDEEF6","333333","G"
"27",18160122,"DennisRohde",269,1516,377,117,2129,"2008-12-16","10:44:02","","0","FFFFFF","B40116","0","S"
"28",18189342,"f_schaeffler",464,10223,5629,369,6566,"2008-12-17","14:10:38","Ostwestfalen-Lippe","2F547F","DFE5EC","DFE5EC","3366","F"
